POID,SupplierID,ProductID,OrderedQty,ReceivedQty,UnitCost_USD,TotalCost_USD,Currency,ExchangeRate,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,IncoTerms,PortOfLoading,FreightCost_USD,BuyerName,ApprovalStatus,Notes,_silver_transformed_at,actual_lead_time_days,expected_lead_time_days,is_late_delivery,receipt_rate
PO000290,SUP0012,PRD0031,285.0,285.0,957.97,273021.45,CAD,1.3457,,2024-03-22,2024-04-04,Fully Received,FOB,Hamburg,381.23,Robert Kleinman,Approved,Expedited shipping requested,2026-06-24 00:14:16.766567,,,1.0,1.0
PO000291,SUP0023,PRD0037,3695.0,3695.0,2041.04,7541642.8,CAD,1.0,2022-09-12,2022-04-12,2022-12-01,Fully Received,<NA>,Hamburg,16847.28,Robert Kleinman,Pending,,2026-06-24 00:14:16.766567,80.0,-153.0,1.0,1.0
PO000292,SUP0001,PRD0020,4252.0,4252.0,540.51,2298248.52,BRL,1.0,2022-12-23,2023-03-08,2023-03-29,Fully Received,FCA,<Na>,11031.17,James Chen,Approved,,2026-06-24 00:14:16.766567,96.0,75.0,1.0,1.0
PO000293,SUP0003,PRD0014,1255.0,1255.0,,695521.0,SEK,0.8109,2023-09-29,2023-12-01,2023-12-03,Open,CIF,Shanghai,9786.73,James Chen,Approved,,2026-06-24 00:14:16.766567,65.0,63.0,1.0,1.0
PO000294,SUP0034,PRD0028,3801.0,3801.0,1661.11,6313879.11,USD,0.913,2024-03-04,2024-05-24,2024-06-08,Fully Received,CIF,<Na>,10300.11,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,96.0,81.0,1.0,1.0
PO000295,SUP0024,PRD0038,1167.0,925.0,361.68,422080.56,SEK,0.8932,2023-04-05,2023-06-30,2023-06-28,Partially Received,FOB,Shanghai,5309.44,Maria Santos,Approved,,2026-06-24 00:14:16.766567,84.0,86.0,0.0,0.7926
PO000296,SUP0013,PRD0028,4890.0,4890.0,,4192148.1,USD,1.0,2024-06-25,2024-08-04,2024-08-27,Fully Received,FOB,Santos,23843.46,,Pending,Price renegotiated Q4,2026-06-24 00:14:16.766567,63.0,40.0,1.0,1.0
PO000297,SUP0019,PRD0026,1896.0,1132.0,1519.56,2881085.76,BRL,1.0,2022-12-20,2023-01-12,2023-01-23,Partially Received,FCA,Santos,8020.96,,Rejected,Quality hold pending lab results,2026-06-24 00:14:16.766567,34.0,23.0,1.0,0.597
PO000298,SUP0037,PRD0025,4208.0,4208.0,,2607024.32,NOK,1.0,2022-02-02,2022-04-29,2022-05-21,Open,CIF,Port Of La,16587.32,David Park,Approved,,2026-06-24 00:14:16.766567,108.0,86.0,1.0,1.0
PO000299,SUP0001,PRD0013,4455.0,4455.0,2449.13,10910874.15,USD,,2023-06-26,,2023-09-06,Fully Received,CIF,Port Of Ny,14556.01,James Chen,Approved,,2026-06-24 00:14:16.766567,72.0,,0.0,1.0
PO000300,SUP0006,PRD0001,2408.0,1809.0,1902.88,4582135.04,JPY,1.0,,2024-04-09,2024-09-13,Partially Received,DDP,<Na>,15900.13,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,,,1.0,0.7512
PO000301,SUP0036,PRD0002,3472.0,0.0,1063.45,3692298.4,JPY,1.1604,2023-10-18,2023-12-26,,On Hold,EXW,Yokohama,19373.36,Maria Santos,Approved,Expedited shipping requested,2026-06-24 00:14:16.766567,,69.0,,0.0
PO000302,SUP0028,PRD0024,4037.0,4037.0,2709.24,10937201.88,NOK,1.3371,2023-08-17,2023-09-05,2023-10-01,Fully Received,FOB,Port Of Ny,3100.2,David Park,Approved,,2026-06-24 00:14:16.766567,45.0,19.0,1.0,1.0
PO000303,SUP0002,PRD0031,1779.0,1779.0,,5038608.33,<NA>,1.0,2023-03-24,2023-06-07,2023-06-08,Fully Received,FCA,Port Of La,2014.45,Luca Ferretti,Approved,,2026-06-24 00:14:16.766567,76.0,75.0,1.0,1.0
PO000304,SUP0025,PRD0001,3018.0,3018.0,2867.04,8652726.72,SEK,1.0,2023-05-01,2023-06-09,2023-04-29,Fully Received,EXW,Yokohama,17475.36,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,-2.0,39.0,0.0,1.0
PO000305,SUP0036,PRD0032,4061.0,4061.0,108.56,440862.16,JPY,1.0878,2023-01-10,2023-02-25,2023-03-06,Fully Received,FOB,Port Of La,,James Chen,Approved,Expedited shipping requested,2026-06-24 00:14:16.766567,55.0,46.0,1.0,1.0
PO000306,SUP0033,PRD0034,4838.0,4838.0,1636.8,7918838.4,CAD,1.0,2024-07-16,2024-08-22,2024-09-06,Fully Received,FCA,Hamburg,20797.3,Luca Ferretti,Approved,,2026-06-24 00:14:16.766567,52.0,37.0,1.0,1.0
PO000307,SUP0014,PRD0021,1066.0,1066.0,53.94,57500.04,CAD,1.0,2023-11-11,2024-02-03,2024-02-25,Fully Received,EXW,Port Of Ny,7723.23,,Approved,,2026-06-24 00:14:16.766567,106.0,84.0,1.0,1.0
PO000308,SUP0012,PRD0040,2410.0,2410.0,514.92,1240957.2,EUR,1.0,2022-02-11,2022-04-20,2022-04-23,Fully Received,<NA>,<Na>,3805.41,Maria Santos,Pending,TBD,2026-06-24 00:14:16.766567,71.0,68.0,1.0,1.0
PO000309,SUP0005,PRD0024,3983.0,,228.31,909358.73,BRL,1.0,2024-06-02,2024-07-29,2024-08-13,Fully Received,CIF,Rotterdam,21885.99,James Chen,Approved,,2026-06-24 00:14:16.766567,72.0,57.0,1.0,
PO000311,SUP0014,PRD0033,1242.0,1242.0,1056.56,1312247.52,<NA>,0.905,2022-03-28,2022-04-20,2022-04-17,Fully Received,DAP,Port Of La,1605.29,Priya Patel,Pending,,2026-06-24 00:14:16.766567,20.0,23.0,0.0,1.0
PO000312,SUP0004,PRD0039,1382.0,1382.0,,986830.92,USD,0.9396,2023-02-19,2023-03-07,2023-03-11,Fully Received,FCA,Shanghai,741.85,Luca Ferretti,Approved,Price renegotiated Q4,2026-06-24 00:14:16.766567,20.0,16.0,1.0,1.0
PO000313,SUP0034,PRD0029,1685.0,1685.0,1458.43,2457454.55,BRL,1.0855,2024-10-22,2024-12-21,2025-01-17,Fully Received,DAP,<Na>,971.47,Robert Kleinman,Approved,,2026-06-24 00:14:16.766567,87.0,60.0,1.0,1.0
PO000314,SUP0018,PRD0024,0.0,0.0,1142.15,0.0,JPY,1.2044,2024-10-31,2025-01-27,,Open,DDP,Port Of Ny,0.0,Anna Kowalski,Approved,Price renegotiated Q4,2026-06-24 00:14:16.766567,,88.0,,
PO000315,SUP0033,PRD0029,1186.0,1186.0,,1773164.88,BRL,1.0,2024-04-23,2024-06-03,2024-06-26,Fully Received,DDP,Santos,6233.29,Robert Kleinman,Approved,,2026-06-24 00:14:16.766567,64.0,41.0,1.0,1.0
PO000316,SUP0001,PRD0010,1048.0,0.0,2689.3,2818386.4,SEK,1.0146,2024-10-01,2024-11-06,,Cancelled,EXW,<Na>,6399.0,Priya Patel,Approved,,2026-06-24 00:14:16.766567,,36.0,,0.0
PO000317,SUP0040,PRD0033,3414.0,0.0,,4157364.36,BRL,1.0,2022-07-27,2022-09-19,,Open,CIF,Vancouver,18032.98,James Chen,Approved,,2026-06-24 00:14:16.766567,,54.0,,0.0
PO000318,SUP0014,PRD0025,2700.0,2700.0,492.92,1330884.0,EUR,1.0,2022-05-15,2022-07-05,2022-07-07,Fully Received,EXW,Shanghai,12834.45,James Chen,Approved,,2026-06-24 00:14:16.766567,53.0,51.0,1.0,1.0
PO000319,SUP0019,PRD0004,3206.0,3206.0,1524.79,4888476.74,SEK,1.0,2023-12-21,2024-01-13,2024-01-18,Fully Received,CIF,Shanghai,3565.15,Anna Kowalski,Rejected,,2026-06-24 00:14:16.766567,28.0,23.0,1.0,1.0
PO000320,SUP0008,PRD0036,2802.0,2802.0,347.4,973414.8,CAD,1.1466,2024-02-22,2024-05-09,2024-06-07,Fully Received,FOB,Shanghai,19604.35,James Chen,Approved,Expedited shipping requested,2026-06-24 00:14:16.766567,106.0,77.0,1.0,1.0
PO000321,SUP0026,PRD0026,0.0,0.0,123.2,0.0,SEK,1.2924,2023-10-09,2023-11-30,,Open,FCA,Shanghai,0.0,Luca Ferretti,Rejected,,2026-06-24 00:14:16.766567,,52.0,,
PO000322,SUP0017,PRD0024,1306.0,1306.0,951.4,1242528.4,SEK,1.1485,2022-11-06,2022-12-06,2022-12-10,Fully Received,CIF,Shanghai,9981.05,David Park,Approved,,2026-06-24 00:14:16.766567,34.0,30.0,1.0,1.0
PO000323,SUP0021,PRD0040,2265.0,2265.0,120.09,272003.85,SEK,1.0,2023-02-11,2023-03-14,2023-05-04,Fully Received,EXW,Santos,13348.68,Maria Santos,Approved,Quality hold pending lab results,2026-06-24 00:14:16.766567,82.0,31.0,1.0,1.0
PO000324,SUP0039,PRD0011,4785.0,0.0,2230.28,10671889.8,NOK,0.7903,2024-12-27,2025-01-12,,Cancelled,CIF,Hamburg,31483.44,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,,16.0,,0.0
PO000325,SUP0017,PRD0020,4647.0,0.0,,4559775.81,JPY,1.0,2024-01-02,,,Open,DAP,Rotterdam,11996.15,David Park,Approved,,2026-06-24 00:14:16.766567,,,,0.0
PO000326,SUP0037,PRD0005,4580.0,4580.0,2776.1,12714538.0,NOK,1.1334,2024-10-30,2025-01-28,2025-02-24,Fully Received,FOB,Yokohama,4644.53,Robert Kleinman,Approved,Expedited shipping requested,2026-06-24 00:14:16.766567,117.0,90.0,1.0,1.0
PO000327,SUP0030,PRD0011,4841.0,901.0,2782.21,13468678.61,CAD,1.0582,2022-12-05,2023-02-28,2023-03-15,Partially Received,EXW,Yokohama,15407.43,James Chen,Approved,,2026-06-24 00:14:16.766567,100.0,85.0,1.0,0.1861
PO000328,SUP0022,PRD0040,1287.0,1287.0,924.23,,JPY,1.0,2024-10-01,2024-12-20,2025-01-19,Fully Received,FOB,Port Of La,9309.13,James Chen,Approved,Quality hold pending lab results,2026-06-24 00:14:16.766567,110.0,80.0,1.0,1.0
PO000329,SUP0033,PRD0007,3620.0,3620.0,1314.46,4758345.2,USD,1.0,2022-05-27,2022-06-28,2022-06-24,Fully Received,CIF,Port Of La,1985.63,Priya Patel,Approved,,2026-06-24 00:14:16.766567,28.0,32.0,0.0,1.0
PO000330,SUP0039,PRD0032,2877.0,2877.0,1682.85,4841559.45,SEK,1.0,2022-08-16,2022-09-25,2022-10-17,Fully Received,DDP,<Na>,2186.46,Luca Ferretti,Approved,,2026-06-24 00:14:16.766567,62.0,40.0,1.0,1.0
PO000331,SUP0036,PRD0007,-2600.0,-2600.0,1537.92,3998592.0,USD,1.0,,2024-06-08,2024-06-21,Fully Received,DDP,Port Of Ny,6993.19,David Park,Approved,Price renegotiated Q4,2026-06-24 00:14:16.766567,,,1.0,
PO000332,SUP0018,PRD0003,-2967.0,-2464.0,,883869.3,NOK,1.1098,2022-11-16,2022-12-28,2023-01-06,Partially Received,CIF,Santos,16072.4,Priya Patel,Pending,,2026-06-24 00:14:16.766567,51.0,42.0,1.0,
PO000333,SUP0024,PRD0008,4102.0,0.0,2106.26,8639878.52,USD,0.9333,2022-10-09,2022-10-27,,Open,EXW,Port Of Ny,18148.8,Maria Santos,Approved,,2026-06-24 00:14:16.766567,,18.0,,0.0
PO000334,SUP0021,PRD0006,1307.0,1307.0,376.1,491562.7,EUR,1.0,2022-11-08,2023-01-20,2023-01-25,Fully Received,CIF,Rotterdam,5550.62,David Park,Approved,,2026-06-24 00:14:16.766567,78.0,73.0,1.0,1.0
PO000335,SUP0011,PRD0024,0.0,0.0,2765.29,0.0,JPY,1.0,2024-06-23,2024-07-22,2024-07-31,Partially Received,CIF,Port Of Ny,0.0,Anna Kowalski,Approved,Price renegotiated Q4,2026-06-24 00:14:16.766567,38.0,29.0,1.0,
PO000336,SUP0025,PRD0018,4953.0,4953.0,281.27,1393130.31,JPY,1.241,2023-05-10,2023-11-08,2023-12-04,Fully Received,DAP,Yokohama,14275.62,David Park,Approved,,2026-06-24 00:14:16.766567,208.0,182.0,1.0,1.0
PO000337,SUP0015,PRD0040,4328.0,4328.0,1350.62,,BRL,1.0,2023-01-18,2023-03-20,2023-04-15,Fully Received,FOB,Port Of La,25883.55,Priya Patel,Approved,Force majeure clause active,2026-06-24 00:14:16.766567,87.0,61.0,1.0,1.0
PO000338,SUP0033,PRD0023,2328.0,0.0,2307.61,,EUR,1.0,2022-02-01,2022-03-06,,Open,DAP,Vancouver,6101.96,Maria Santos,Approved,,2026-06-24 00:14:16.766567,,33.0,,0.0
PO000339,SUP0031,PRD0028,4644.0,4644.0,257.44,1195551.36,USD,1.0033,2022-01-22,2022-03-13,2022-03-27,Fully Received,DDP,Port Of Ny,,Luca Ferretti,Pending,TBD,2026-06-24 00:14:16.766567,64.0,50.0,1.0,1.0
PO000340,SUP0003,PRD0029,227.0,0.0,1730.28,392773.56,EUR,1.0,2024-05-01,2024-06-07,,Open,FOB,<Na>,1227.8,James Chen,Approved,,2026-06-24 00:14:16.766567,,37.0,,0.0
PO000341,SUP0021,PRD0020,2760.0,2760.0,2838.63,7834618.8,EUR,1.0,2024-05-03,2024-06-04,2024-06-20,Fully Received,FOB,Yokohama,14527.45,Maria Santos,Approved,,2026-06-24 00:14:16.766567,48.0,32.0,1.0,1.0
PO000342,SUP0006,PRD0005,793.0,,1112.89,882521.77,<NA>,1.0,2022-03-12,2022-05-15,2022-05-18,Fully Received,DDP,Yokohama,5786.65,Maria Santos,Pending,,2026-06-24 00:14:16.766567,67.0,64.0,1.0,
PO000344,SUP0017,PRD0026,1170.0,479.0,2272.44,2658754.8,CAD,0.961,2024-09-18,2024-09-25,2024-09-24,Partially Received,FOB,Shanghai,6495.87,James Chen,Approved,Expedited shipping requested,2026-06-24 00:14:16.766567,6.0,7.0,0.0,0.4094
PO000345,SUP0001,PRD0013,1926.0,1926.0,360.23,693802.98,USD,1.0,2022-11-30,2023-01-22,2023-01-21,Fully Received,FOB,Yokohama,2529.49,Robert Kleinman,Approved,Price renegotiated Q4,2026-06-24 00:14:16.766567,52.0,53.0,0.0,1.0
PO000346,SUP0036,PRD0022,3054.0,0.0,1303.91,3982141.14,SEK,1.0,2024-01-10,2024-03-07,,Open,DAP,Hamburg,16019.32,Anna Kowalski,Approved,Expedited shipping requested,2026-06-24 00:14:16.766567,,57.0,,0.0
PO000347,SUP0003,PRD0002,2097.0,1725.0,1751.27,,JPY,1.0155,2024-02-28,2024-06-04,2024-04-07,Partially Received,EXW,<Na>,13900.41,Luca Ferretti,Approved,,2026-06-24 00:14:16.766567,39.0,97.0,0.0,0.8226
PO000348,SUP0029,PRD0020,489.0,0.0,1215.17,,USD,1.0,2024-10-30,2024-11-19,,Open,EXW,Port Of Ny,1653.29,James Chen,Approved,,2026-06-24 00:14:16.766567,,20.0,,0.0
PO000349,SUP0021,PRD0005,2089.0,,,464175.8,<NA>,1.0,2023-05-20,2023-06-04,2023-05-30,Partially Received,FOB,Vancouver,,,Approved,Price renegotiated Q4,2026-06-24 00:14:16.766567,10.0,15.0,0.0,
PO000350,SUP0003,PRD0004,4816.0,4816.0,2333.88,11239966.08,EUR,1.0,2024-05-17,2024-07-21,2024-08-13,Fully Received,FOB,<Na>,32561.36,David Park,Approved,,2026-06-24 00:14:16.766567,88.0,65.0,1.0,1.0
PO000351,SUP0001,PRD0005,835.0,835.0,546.69,456486.15,BRL,0.9381,2024-03-30,2024-05-16,2024-05-14,Fully Received,<NA>,Port Of Ny,3904.46,Robert Kleinman,Approved,,2026-06-24 00:14:16.766567,45.0,47.0,0.0,1.0
PO000352,SUP0033,PRD0027,3475.0,,2186.53,7598191.75,EUR,1.0,2022-10-16,2022-12-02,,Cancelled,CIF,Vancouver,17988.79,James Chen,Approved,,2026-06-24 00:14:16.766567,,47.0,,
PO000353,SUP0006,PRD0023,1009.0,208.0,126.62,127759.58,BRL,1.1474,2024-06-10,2024-08-31,2024-09-10,Partially Received,FCA,Rotterdam,1773.04,,Rejected,Price renegotiated Q4,2026-06-24 00:14:16.766567,92.0,82.0,1.0,0.2061
PO000355,SUP0028,PRD0011,4639.0,1098.0,1584.26,7349382.14,JPY,1.2627,2023-06-24,2023-09-22,2023-09-29,Partially Received,FOB,Santos,9561.02,Robert Kleinman,Approved,,2026-06-24 00:14:16.766567,97.0,90.0,1.0,0.2367
PO000356,SUP0037,PRD0016,1755.0,0.0,2937.02,5154470.1,CAD,1.0,2024-06-03,2024-07-15,,On Hold,FOB,<Na>,12306.62,Robert Kleinman,Approved,,2026-06-24 00:14:16.766567,,42.0,,0.0
PO000357,SUP0037,PRD0017,1011.0,383.0,,345205.95,USD,0.868,2022-02-27,2022-03-12,2022-03-23,Partially Received,FOB,<Na>,1123.45,David Park,Approved,,2026-06-24 00:14:16.766567,24.0,13.0,1.0,0.3788
PO000358,SUP0016,PRD0029,4652.0,4652.0,1890.12,8792838.24,CAD,1.1083,2023-09-20,2023-12-10,2023-12-08,Open,EXW,Yokohama,16119.45,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,79.0,81.0,0.0,1.0
PO000359,SUP0005,PRD0016,2704.0,0.0,2157.72,5834474.88,SEK,1.3119,2022-12-09,2022-12-17,,Open,CIF,<Na>,3715.43,James Chen,Approved,,2026-06-24 00:14:16.766567,,8.0,,0.0
PO000360,SUP0011,PRD0011,2575.0,2575.0,492.1,1267157.5,SEK,1.0,2023-11-28,2024-02-04,2024-02-29,Fully Received,CIF,Port Of Ny,12233.61,Luca Ferretti,Pending,Force majeure clause active,2026-06-24 00:14:16.766567,93.0,68.0,1.0,1.0
PO000361,SUP0007,PRD0022,799.0,799.0,2030.38,1622273.62,NOK,,2022-07-28,2022-08-14,2022-09-01,Fully Received,FOB,Yokohama,2619.76,James Chen,Rejected,,2026-06-24 00:14:16.766567,35.0,17.0,1.0,1.0
PO000362,SUP0003,PRD0020,2117.0,2117.0,2975.87,6299916.79,BRL,0.7904,,2023-01-02,2023-01-10,Fully Received,FOB,Vancouver,13397.84,,Approved,,2026-06-24 00:14:16.766567,,,1.0,1.0
PO000363,SUP0039,PRD0005,2799.0,0.0,239.88,671424.12,USD,1.0,2022-01-02,2022-02-25,,Open,EXW,Port Of La,15786.8,,Approved,,2026-06-24 00:14:16.766567,,54.0,,0.0
PO000364,SUP0011,PRD0017,-2399.0,-2399.0,1683.96,4039820.04,BRL,1.0,2022-12-31,2023-03-23,2023-04-10,Fully Received,EXW,Hamburg,7378.39,Luca Ferretti,Approved,,2026-06-24 00:14:16.766567,100.0,82.0,1.0,
PO000365,SUP0005,PRD0003,22.0,22.0,2005.21,,EUR,1.0,2023-02-06,2023-04-15,2023-04-29,Fully Received,FCA,Port Of La,29.97,Maria Santos,Approved,,2026-06-24 00:14:16.766567,82.0,68.0,1.0,1.0
PO000366,SUP0013,PRD0006,1225.0,1225.0,2830.6,3467485.0,JPY,1.0,2022-01-08,2022-02-28,2022-03-14,Fully Received,EXW,Hamburg,2757.96,David Park,Approved,,2026-06-24 00:14:16.766567,65.0,51.0,1.0,1.0
PO000367,SUP0036,PRD0022,3295.0,3295.0,2633.84,8678502.8,USD,0.8951,2023-10-18,2023-12-08,2023-12-09,Fully Received,FOB,Vancouver,8552.69,Priya Patel,Approved,,2026-06-24 00:14:16.766567,52.0,51.0,1.0,1.0
PO000368,SUP0010,PRD0034,365.0,365.0,2044.15,746114.75,EUR,0.9938,2023-07-08,,2023-09-23,Fully Received,FCA,Shanghai,1006.57,Luca Ferretti,Approved,Quality hold pending lab results,2026-06-24 00:14:16.766567,77.0,,0.0,1.0
PO000369,SUP0005,PRD0011,1867.0,263.0,340.14,635041.38,SEK,1.0,2022-03-20,2022-05-12,2022-05-20,Partially Received,CIF,<Na>,6035.91,Maria Santos,Rejected,,2026-06-24 00:14:16.766567,61.0,53.0,1.0,0.1409
PO000370,SUP0026,PRD0004,3425.0,3425.0,2824.08,9672474.0,BRL,1.0,2023-08-14,,2023-11-07,Fully Received,EXW,Port Of Ny,16637.9,,Approved,Force majeure clause active,2026-06-24 00:14:16.766567,85.0,,0.0,1.0
PO000371,SUP0014,PRD0032,1849.0,1849.0,,1829881.34,CAD,1.0,2022-09-08,2022-10-18,2022-10-19,Fully Received,CIF,Shanghai,10025.81,Anna Kowalski,Approved,Expedited shipping requested,2026-06-24 00:14:16.766567,41.0,40.0,1.0,1.0
PO000372,SUP0006,PRD0030,4956.0,3523.0,1156.85,5733348.6,USD,1.0,2024-09-08,2024-10-13,2024-10-13,Partially Received,FOB,Port Of La,6332.94,James Chen,Approved,,2026-06-24 00:14:16.766567,35.0,35.0,0.0,0.7109
PO000373,SUP0023,PRD0032,4885.0,0.0,2019.98,9867602.3,JPY,,,2022-08-06,,Open,FOB,<Na>,6846.19,Robert Kleinman,Rejected,Price renegotiated Q4,2026-06-24 00:14:16.766567,,,,0.0
PO000374,SUP0015,PRD0026,1564.0,0.0,1070.34,1674011.76,SEK,1.0,2022-07-25,2022-08-13,,Open,FCA,Santos,4168.2,Robert Kleinman,Approved,,2026-06-24 00:14:16.766567,,19.0,,0.0
PO000375,SUP0038,PRD0010,-3275.0,-3275.0,305.41,1000217.75,NOK,1.0,2023-12-01,2023-12-14,2023-12-27,Fully Received,FOB,<Na>,10440.77,Luca Ferretti,Approved,,2026-06-24 00:14:16.766567,26.0,13.0,1.0,
PO000376,SUP0031,PRD0035,3668.0,3668.0,153.83,564248.44,USD,1.0,2022-02-27,2022-05-18,2022-05-23,Fully Received,FCA,Port Of La,18668.14,Luca Ferretti,Approved,,2026-06-24 00:14:16.766567,85.0,80.0,1.0,1.0
PO000377,SUP0021,PRD0004,1134.0,1134.0,1442.04,1635273.36,CAD,1.3036,2024-10-14,2024-12-30,2025-01-12,Fully Received,FCA,Yokohama,,David Park,Approved,Expedited shipping requested,2026-06-24 00:14:16.766567,90.0,77.0,1.0,1.0
PO000378,SUP0008,PRD0028,3905.0,1582.0,2118.16,8271414.8,JPY,1.2356,2023-03-08,2023-05-04,2023-05-18,Partially Received,CIF,Port Of Ny,15067.55,Priya Patel,Pending,,2026-06-24 00:14:16.766567,71.0,57.0,1.0,0.4051
PO000379,SUP0035,PRD0004,3644.0,3644.0,2679.22,9763077.68,USD,1.0,2023-02-23,2023-05-04,2023-05-10,Partially Received,CIF,Hamburg,3027.83,Robert Kleinman,Pending,Expedited shipping requested,2026-06-24 00:14:16.766567,76.0,70.0,1.0,1.0
PO000380,SUP0039,PRD0017,509.0,509.0,2411.69,,SEK,1.0,2023-03-09,,2023-03-07,Fully Received,DAP,Port Of Ny,1184.1,Maria Santos,Pending,,2026-06-24 00:14:16.766567,-2.0,,0.0,1.0
PO000381,SUP0032,PRD0016,2892.0,2892.0,1457.48,,CAD,1.2498,2024-02-15,2024-04-12,2024-04-16,Fully Received,CIF,<Na>,11347.35,Priya Patel,Approved,,2026-06-24 00:14:16.766567,61.0,57.0,1.0,1.0
PO000382,SUP0027,PRD0006,42.0,42.0,1961.53,82384.26,USD,1.0,2023-07-31,2023-08-22,2023-09-13,Fully Received,EXW,Shanghai,264.54,Luca Ferretti,Pending,,2026-06-24 00:14:16.766567,44.0,22.0,1.0,1.0
PO000383,SUP0030,PRD0023,4483.0,0.0,765.54,3431915.82,BRL,1.1351,2022-02-16,2022-03-03,,Open,CIF,Port Of La,5932.39,,Approved,Quality hold pending lab results,2026-06-24 00:14:16.766567,,15.0,,0.0
PO000384,SUP0029,PRD0025,262.0,262.0,2205.45,577827.9,SEK,1.0,2023-08-23,2023-09-03,2023-09-09,Fully Received,DAP,Shanghai,1137.13,Anna Kowalski,Approved,Force majeure clause active,2026-06-24 00:14:16.766567,17.0,11.0,1.0,1.0
PO000385,SUP0036,PRD0013,4322.0,4322.0,2736.27,11826158.94,JPY,1.2402,2024-05-21,2024-08-09,2024-08-18,Fully Received,DAP,Port Of La,12193.86,David Park,Approved,,2026-06-24 00:14:16.766567,89.0,80.0,1.0,1.0
PO000386,SUP0021,PRD0032,4645.0,4645.0,2374.63,11030156.35,USD,1.0293,,2024-09-14,2024-09-27,Fully Received,DDP,Port Of Ny,26310.85,Priya Patel,Pending,,2026-06-24 00:14:16.766567,,,1.0,1.0
PO000388,SUP0007,PRD0026,4100.0,0.0,2672.93,10959013.0,CAD,1.0,2023-03-13,2023-04-07,,Open,DDP,Yokohama,24707.22,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,,25.0,,0.0
PO000389,SUP0030,PRD0036,3249.0,0.0,252.56,820567.44,BRL,0.9092,2022-12-01,2023-01-10,,Fully Received,FOB,<Na>,10169.82,,Approved,Price renegotiated Q4,2026-06-24 00:14:16.766567,,40.0,,0.0
PO000390,SUP0006,PRD0008,401.0,308.0,912.99,366108.99,CAD,1.0,2024-10-12,2024-12-06,2024-12-13,Partially Received,EXW,Port Of Ny,2846.51,Luca Ferretti,Approved,,2026-06-24 00:14:16.766567,62.0,55.0,1.0,0.7681
PO000391,SUP0024,PRD0026,2747.0,2747.0,286.01,785669.47,BRL,1.0,2022-11-07,2023-01-28,2023-02-13,Fully Received,FOB,Shanghai,15257.18,David Park,Approved,,2026-06-24 00:14:16.766567,98.0,82.0,1.0,1.0
PO000392,SUP0026,PRD0038,101.0,18.0,1303.17,131620.17,USD,1.2255,2024-08-11,2024-11-02,2024-11-17,Partially Received,CIF,Shanghai,240.33,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,98.0,83.0,1.0,0.1782
PO000393,SUP0032,PRD0004,810.0,810.0,830.69,672858.9,CAD,,,2024-12-19,2025-01-09,Fully Received,FCA,Hamburg,1073.43,David Park,Approved,Price renegotiated Q4,2026-06-24 00:14:16.766567,,,1.0,1.0
PO000394,SUP0030,PRD0004,1943.0,0.0,2763.28,5369053.04,SEK,1.0,2024-12-29,2025-01-17,,Cancelled,DDP,Hamburg,4964.2,Anna Kowalski,Approved,TBD,2026-06-24 00:14:16.766567,,19.0,,0.0
PO000395,SUP0026,PRD0002,3453.0,3453.0,1191.88,4115561.64,BRL,1.1795,2023-02-23,2023-03-14,2023-03-28,Fully Received,FOB,Hamburg,15605.72,Luca Ferretti,Approved,Force majeure clause active,2026-06-24 00:14:16.766567,33.0,19.0,1.0,1.0
PO000396,SUP0018,PRD0022,1064.0,1064.0,1908.79,2030952.56,NOK,1.0,,,2023-10-06,Fully Received,FCA,Rotterdam,2112.05,Luca Ferretti,Approved,TBD,2026-06-24 00:14:16.766567,,,0.0,1.0
PO000397,SUP0009,PRD0017,2124.0,,1413.99,3003314.76,USD,1.2223,2024-09-03,2024-12-02,,On Hold,FOB,Vancouver,13995.39,Maria Santos,Rejected,,2026-06-24 00:14:16.766567,,90.0,,
PO000398,SUP0024,PRD0011,4562.0,0.0,2300.82,10496340.84,JPY,1.0,2024-01-21,2024-02-10,,Open,DAP,Port Of La,9311.67,James Chen,Approved,,2026-06-24 00:14:16.766567,,20.0,,0.0
PO000399,SUP0039,PRD0040,2201.0,2201.0,2806.73,6177612.73,NOK,1.0,2024-09-08,2024-11-13,2024-11-16,Fully Received,CIF,Rotterdam,,David Park,Approved,,2026-06-24 00:14:16.766567,69.0,66.0,1.0,1.0
PO000400,SUP0017,PRD0009,4584.0,0.0,1451.49,6653630.16,NOK,1.0,2024-02-28,2024-04-20,,Open,FOB,Port Of La,17167.7,Robert Kleinman,Approved,,2026-06-24 00:14:16.766567,,52.0,,0.0
PO000402,SUP0026,PRD0017,3746.0,3746.0,2424.95,9083862.7,NOK,1.0,2023-02-05,2023-07-23,2023-08-08,Fully Received,DDP,Rotterdam,3634.99,James Chen,Approved,Price renegotiated Q4,2026-06-24 00:14:16.766567,184.0,168.0,1.0,1.0
